siteID,date1,date2,date3
BONA,2017-08,2018-07,NA
CLBJ,2017-05,2018-05,2019-04
HARV,2017-07,2018-07,2019-07
KONZ,2016-07,2017-06,2019-07
NIWO,2018-08,2019-08,2020-08
ONAQ,2017-06,2019-05,NA
OSBS,2017-09,2018-09,NA
SCBI,2016-07,2017-07,2019-06
SJER,2017-03,2018-03,2019-03
TALL,2016-05,NA,NA
UNDE,2016-08,2019-06,2020-07
WREF,2018-07,2019-07,NA
YELL,2018-07,2019-07,2020-07
ABBY,2017-06,2018-06,2019-07
MOAB,2017-07,NA,NA
SOAP,2017-06,2018-06,2019-06
TEAK,2017-07,2019-07,NA
HEAL,2017-07,2018-08,2019-08
DEJU,2017-07,2018-08,2019-08
TREE,2017-08,2019-06,2020-08
JERC,2017-09,2018-09,2019-09
BART,2016-07,2018-06,2019-07
GRSM,2015-08,2016-07,2018-04
STEI,2017-08,2019-06,2020-07
LENO,2016-05,2017-06,2019-06
MLBS,2017-08,2018-07,NA
UKFS,2017-06,2018-06,2020-06
BLAN,2016-08,2017-07,2019-06
SERC,2016-07,2017-07,2017-08
RMNP,2017-07,2018-07,NA
DELA,2015-07,2016-06,2017-06