"sitemonthyear","siteID","monthyear","year","numplots","species_richness","exotic_richness","exotic_cover","Dominant_NLCD_Classes"
"BONA2017-08","BONA","2017-08","2017","1","12","0","NaN","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"BONA2018-07","BONA","2018-07","2018","3","21","0","NaN","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"CLBJ2017-05","CLBJ","2017-05","2017","22","243","10","12.1666666666667","Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","14","192","8","7.375","Deciduous Forest, Grassland/Herbaceous"
"CLBJ2019-04","CLBJ","2019-04","2019","1","55","0","NaN","Deciduous Forest, Grassland/Herbaceous"
"HARV2017-07","HARV","2017-07","2017","9","94","4","2.16666666666667","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"HARV2018-07","HARV","2018-07","2018","21","133","7","3.52173913043478","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"HARV2019-07","HARV","2019-07","2019","8","80","1","0.5","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"KONZ2016-07","KONZ","2016-07","2016","11","133","2","2","Deciduous Forest, Grassland/Herbaceous"
"KONZ2017-06","KONZ","2017-06","2017","1","24","1","1","Deciduous Forest, Grassland/Herbaceous"
"KONZ2019-07","KONZ","2019-07","2019","14","144","2","1","Deciduous Forest, Grassland/Herbaceous"
"NIWO2018-08","NIWO","2018-08","2018","15","39","0","NaN","Evergreen Forest, Grassland/Herbaceous"
"NIWO2019-08","NIWO","2019-08","2019","12","120","0","NaN","Evergreen Forest, Grassland/Herbaceous"
"NIWO2020-08","NIWO","2020-08","2020","2","8","0","NaN","Evergreen Forest, Grassland/Herbaceous"
"ONAQ2017-06","ONAQ","2017-06","2017","12","49","11","0.636842105263158","Evergreen Forest, Shrub/Scrub"
"ONAQ2019-05","ONAQ","2019-05","2019","5","21","7","0.752941176470588","Evergreen Forest, Shrub/Scrub"
"OSBS2017-09","OSBS","2017-09","2017","11","136","2","0.916666666666667","Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands"
"OSBS2018-09","OSBS","2018-09","2018","11","109","1","1","Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands"
"SCBI2016-07","SCBI","2016-07","2016","12","167","53","4.08315098468271","Deciduous Forest, Evergreen Forest, Pasture/Hay"
"SCBI2017-07","SCBI","2017-07","2017","8","144","48","2.37608695652174","Deciduous Forest, Evergreen Forest, Pasture/Hay"
"SCBI2019-06","SCBI","2019-06","2019","18","130","21","9.78072625698324","Deciduous Forest, Evergreen Forest, Pasture/Hay"
"SJER2017-03","SJER","2017-03","2017","4","46","19","10.4378698224852","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"SJER2018-03","SJER","2018-03","2018","6","50","18","8.03727272727273","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"SJER2019-03","SJER","2019-03","2019","3","42","9","4.84848484848485","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"TALL2016-05","TALL","2016-05","2016","26","159","4","0.875","Deciduous Forest, Evergreen Forest, Mixed Forest"
"UNDE2016-08","UNDE","2016-08","2016","8","106","4","1.71875","Deciduous Forest, Mixed Forest, Woody Wetlands"
"UNDE2019-06","UNDE","2019-06","2019","3","53","2","3.5","Deciduous Forest, Mixed Forest, Woody Wetlands"
"UNDE2020-07","UNDE","2020-07","2020","8","129","4","9.25","Deciduous Forest, Mixed Forest, Woody Wetlands"
"WREF2018-07","WREF","2018-07","2018","27","79","1","1","Evergreen Forest"
"WREF2019-07","WREF","2019-07","2019","14","52","1","0.5","Evergreen Forest"
"YELL2018-07","YELL","2018-07","2018","3","63","3","4.5","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"YELL2019-07","YELL","2019-07","2019","12","155","8","0.910714285714286","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"YELL2020-07","YELL","2020-07","2020","4","99","7","0.911764705882353","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2017-06","ABBY","2017-06","2017","7","66","11","3.06746031746032","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","33","127","22","3.39816513761468","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2019-07","ABBY","2019-07","2019","7","66","19","5.2972972972973","Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"MOAB2017-07","MOAB","2017-07","2017","1","6","3","0.5","Evergreen Forest, Shrub/Scrub"
"SOAP2017-06","SOAP","2017-06","2017","5","50","8","3.20689655172414","Evergreen Forest, Shrub/Scrub"
"SOAP2018-06","SOAP","2018-06","2018","9","76","10","3.34070796460177","Evergreen Forest, Shrub/Scrub"
"SOAP2019-06","SOAP","2019-06","2019","24","138","16","2.19791666666667","Evergreen Forest, Shrub/Scrub"
"TEAK2017-07","TEAK","2017-07","2017","5","37","0","NaN","Evergreen Forest, Shrub/Scrub"
"TEAK2019-07","TEAK","2019-07","2019","9","59","0","NaN","Evergreen Forest, Shrub/Scrub"
"HEAL2017-07","HEAL","2017-07","2017","19","64","0","NaN","Dwarf Scrub, Evergreen Forest, Shrub/Scrub"
"HEAL2018-08","HEAL","2018-08","2018","33","87","0","NaN","Dwarf Scrub, Evergreen Forest, Shrub/Scrub"
"HEAL2019-08","HEAL","2019-08","2019","33","68","0","NaN","Dwarf Scrub, Evergreen Forest, Shrub/Scrub"
"DEJU2017-07","DEJU","2017-07","2017","13","70","0","NaN","Evergreen Forest, Shrub/Scrub, Woody Wetlands"
"DEJU2018-08","DEJU","2018-08","2018","33","108","0","NaN","Evergreen Forest, Shrub/Scrub, Woody Wetlands"
"DEJU2019-08","DEJU","2019-08","2019","33","91","0","NaN","Evergreen Forest, Shrub/Scrub, Woody Wetlands"
"TREE2017-08","TREE","2017-08","2017","2","46","4","5","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"TREE2019-06","TREE","2019-06","2019","5","75","2","0.5","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"TREE2020-08","TREE","2020-08","2020","4","94","1","1.3","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"JERC2017-09","JERC","2017-09","2017","7","199","2","4.5","Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest"
"JERC2018-09","JERC","2018-09","2018","22","313","10","5.95238095238095","Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest"
"JERC2019-09","JERC","2019-09","2019","10","236","1","17.6666666666667","Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2016-07","BART","2016-07","2016","2","7","1","NaN","Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","33","49","0","NaN","Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2019-07","BART","2019-07","2019","7","20","0","NaN","Deciduous Forest, Evergreen Forest, Mixed Forest"
"GRSM2015-08","GRSM","2015-08","2015","6","20","1","NaN","Deciduous Forest, Evergreen Forest"
"GRSM2016-07","GRSM","2016-07","2016","27","137","1","0.625","Deciduous Forest, Evergreen Forest"
"GRSM2018-04","GRSM","2018-04","2018","6","97","0","NaN","Deciduous Forest, Evergreen Forest"
"STEI2017-08","STEI","2017-08","2017","1","26","1","0.5","Deciduous Forest, Mixed Forest, Woody Wetlands"
"STEI2019-06","STEI","2019-06","2019","2","49","1","0.75","Deciduous Forest, Mixed Forest, Woody Wetlands"
"STEI2020-07","STEI","2020-07","2020","17","171","1","1","Deciduous Forest, Mixed Forest, Woody Wetlands"
"LENO2016-05","LENO","2016-05","2016","1","25","2","0.75","Deciduous Forest, Woody Wetlands"
"LENO2017-06","LENO","2017-06","2017","28","137","8","1.63333333333333","Deciduous Forest, Woody Wetlands"
"LENO2019-06","LENO","2019-06","2019","11","71","4","0.833333333333333","Deciduous Forest, Woody Wetlands"
"MLBS2017-08","MLBS","2017-08","2017","15","78","2","8.66666666666667","Deciduous Forest"
"MLBS2018-07","MLBS","2018-07","2018","9","88","1","1","Deciduous Forest"
"UKFS2017-06","UKFS","2017-06","2017","21","167","18","3.83093525179856","Deciduous Forest, Pasture/Hay"
"UKFS2018-06","UKFS","2018-06","2018","17","127","13","2.41818181818182","Deciduous Forest, Pasture/Hay"
"UKFS2020-06","UKFS","2020-06","2020","7","95","5","1.08928571428571","Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","9","116","39","11.5412844036697","Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","8","60","14","6.37068965517241","Deciduous Forest, Pasture/Hay"
"BLAN2019-06","BLAN","2019-06","2019","7","64","16","6.57352941176471","Deciduous Forest, Pasture/Hay"
"SERC2016-07","SERC","2016-07","2016","3","57","9","5.61320754716981","Cultivated Crops, Deciduous Forest"
"SERC2017-07","SERC","2017-07","2017","5","65","13","12.9157303370787","Cultivated Crops, Deciduous Forest"
"SERC2017-08","SERC","2017-08","2017","8","19","8","34.2991452991453","Cultivated Crops, Deciduous Forest"
"RMNP2017-07","RMNP","2017-07","2017","19","91","2","0.75","Evergreen Forest"
"RMNP2018-07","RMNP","2018-07","2018","23","99","2","2.3","Evergreen Forest"
"DELA2015-07","DELA","2015-07","2015","29","148","13","2.27102803738318","Evergreen Forest, Woody Wetlands"
"DELA2016-06","DELA","2016-06","2016","31","157","10","3.29017857142857","Evergreen Forest, Woody Wetlands"
"DELA2017-06","DELA","2017-06","2017","4","62","6","1.77777777777778","Evergreen Forest, Woody Wetlands"
