"siteID","monthyear","sitemonthyear","plotID","latitude","longitude","easting","northing"
"BONA","2017-08","BONA2017-08","BONA_003","65.201069","-147.486275","477241.564","7230951.278"
"BONA","2018-07","BONA2018-07","BONA_019","65.1984","-147.481092","477481.873","7230651.968"
"BONA","2018-07","BONA2018-07","BONA_007","65.193678","-147.444473","479192.127","7230113.172"
"BONA","2018-07","BONA2018-07","BONA_021","65.151634","-147.456573","478591.815","7225431.467"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_036","33.397578","-97.57995","632062.408","3696264.855"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_042","33.371534","-97.597793","630441.76","3693354.515"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_031","33.375278","-97.595151","630681.931","3693772.963"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_051","33.369609","-97.594595","630742.157","3693145.145"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_058","33.374568","-97.578391","632242.239","3693715.404"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_055","33.32094","-97.574434","632691.673","3687774.215"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_034","33.321251","-97.57765","632391.857","3687804.606"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_039","33.329427","-97.583638","631822.133","3688703.552"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_046","33.403571","-97.58341","631731.495","3696924.926"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_040","33.378824","-97.646691","625882.127","3694102.735"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_057","33.372827","-97.64129","626393.231","3693444.288"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_035","33.329927","-97.579437","632212.369","3688764.37"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_032","33.406134","-97.593996","630743.201","3697195.761"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_043","33.409931","-97.595224","630623.323","3697615.275"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_038","33.414259","-97.597098","630442.546","3698092.837"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_041","33.410931","-97.662009","624411.434","3697644.222"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_045","33.403397","-97.568252","633141.462","3696924.986"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_044","33.416293","-97.657079","624862.186","3698244.719"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_049","33.413367","-97.635828","626842.436","3697945.995"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_060","33.377376","-97.635425","626932.226","3693955.84"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_056","33.39147","-97.663273","624321.63","3695484.968"
"CLBJ","2017-05","CLBJ2017-05","CLBJ_059","33.37569","-97.631907","627261.948","3693773.193"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_001","33.397987","-97.568339","633141.62","3696324.985"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_002","33.40398","-97.571138","632872.228","3696985.964"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_051","33.369609","-97.594595","630742.157","3693145.145"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_042","33.371534","-97.597793","630441.76","3693354.515"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_034","33.321251","-97.57765","632391.857","3687804.606"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_033","33.380971","-97.620209","628342.456","3694373.135"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_050","33.379385","-97.622498","628131.9","3694194.459"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_060","33.377376","-97.635425","626932.226","3693955.84"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_059","33.37569","-97.631907","627261.948","3693773.193"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_057","33.372827","-97.64129","626393.231","3693444.288"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_036","33.397578","-97.57995","632062.408","3696264.855"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_003","33.403989","-97.572744","632722.868","3696984.829"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_049","33.413367","-97.635828","626842.436","3697945.995"
"CLBJ","2018-05","CLBJ2018-05","CLBJ_044","33.416293","-97.657079","624862.186","3698244.719"
"CLBJ","2019-04","CLBJ2019-04","CLBJ_036","33.397578","-97.57995","632062.408","3696264.855"
"HARV","2017-07","HARV2017-07","HARV_026","42.410762","-72.247271","726510.439","4699055.568"
"HARV","2017-07","HARV2017-07","HARV_018","42.432275","-72.232028","727686.891","4701485.414"
"HARV","2017-07","HARV2017-07","HARV_030","42.423045","-72.218966","728795.047","4700495.504"
"HARV","2017-07","HARV2017-07","HARV_020","42.436756","-72.228878","727929.776","4701991.474"
"HARV","2017-07","HARV2017-07","HARV_002","42.478565","-72.259572","725254.921","4706552.291"
"HARV","2017-07","HARV2017-07","HARV_017","42.481741","-72.26708","724626.424","4706885.042"
"HARV","2017-07","HARV2017-07","HARV_022","42.434188","-72.198776","730415.353","4701787.542"
"HARV","2017-07","HARV2017-07","HARV_005","42.489469","-72.275158","723934.837","4707721.902"
"HARV","2017-07","HARV2017-07","HARV_027","42.43035","-72.253258","725947.363","4701214.858"
"HARV","2018-07","HARV2018-07","HARV_024","42.459993","-72.25087","726037.158","4704513.024"
"HARV","2018-07","HARV2018-07","HARV_006","42.403087","-72.25372","726007.307","4698186.136"
"HARV","2018-07","HARV2018-07","HARV_013","42.392282","-72.254598","725973.872","4696983.872"
"HARV","2018-07","HARV2018-07","HARV_016","42.45847","-72.231992","727594.914","4704394.4"
"HARV","2018-07","HARV2018-07","HARV_011","42.455924","-72.238278","727087.305","4704094.844"
"HARV","2018-07","HARV2018-07","HARV_021","42.45243","-72.250472","726097.062","4703674.283"
"HARV","2018-07","HARV2018-07","HARV_023","42.414314","-72.226622","728196.771","4699505.331"
"HARV","2018-07","HARV2018-07","HARV_033","42.538302","-72.175607","731935.953","4713412.669"
"HARV","2018-07","HARV2018-07","HARV_015","42.538822","-72.182055","731404.519","4713452.726"
"HARV","2018-07","HARV2018-07","HARV_035","42.539966","-72.178072","731727.362","4713590.729"
"HARV","2018-07","HARV2018-07","HARV_030","42.423045","-72.218966","728795.047","4700495.504"
"HARV","2018-07","HARV2018-07","HARV_018","42.432275","-72.232028","727686.891","4701485.414"
"HARV","2018-07","HARV2018-07","HARV_063","42.444983","-72.22125","728527.36","4702925.544"
"HARV","2018-07","HARV2018-07","HARV_008","42.444557","-72.226082","728131.486","4702865.242"
"HARV","2018-07","HARV2018-07","HARV_034","42.535686","-72.177968","731751.748","4713115.656"
"HARV","2018-07","HARV2018-07","HARV_027","42.43035","-72.253258","725947.363","4701214.858"
"HARV","2018-07","HARV2018-07","HARV_012","42.429486","-72.239802","727057.44","4701154.786"
"HARV","2018-07","HARV2018-07","HARV_017","42.481741","-72.26708","724626.424","4706885.042"
"HARV","2018-07","HARV2018-07","HARV_059","42.480806","-72.275442","723942.441","4706759.14"
"HARV","2018-07","HARV2018-07","HARV_005","42.489469","-72.275158","723934.837","4707721.902"
"HARV","2018-07","HARV2018-07","HARV_022","42.434188","-72.198776","730415.353","4701787.542"
"HARV","2019-07","HARV2019-07","HARV_059","42.480806","-72.275442","723942.441","4706759.14"
"HARV","2019-07","HARV2019-07","HARV_063","42.444983","-72.22125","728527.36","4702925.544"
"HARV","2019-07","HARV2019-07","HARV_012","42.429486","-72.239802","727057.44","4701154.786"
"HARV","2019-07","HARV2019-07","HARV_022","42.434188","-72.198776","730415.353","4701787.542"
"HARV","2019-07","HARV2019-07","HARV_005","42.489469","-72.275158","723934.837","4707721.902"
"HARV","2019-07","HARV2019-07","HARV_021","42.45243","-72.250472","726097.062","4703674.283"
"HARV","2019-07","HARV2019-07","HARV_033","42.538302","-72.175607","731935.953","4713412.669"
"HARV","2019-07","HARV2019-07","HARV_015","42.538822","-72.182055","731404.519","4713452.726"
"KONZ","2016-07","KONZ2016-07","KONZ_014","39.1095","-96.561283","710860.084","4331759.743"
"KONZ","2016-07","KONZ2016-07","KONZ_005","39.082563","-96.566705","710471.292","4328757.276"
"KONZ","2016-07","KONZ2016-07","KONZ_042","39.09957","-96.564404","710619.732","4330650.238"
"KONZ","2016-07","KONZ2016-07","KONZ_043","39.102192","-96.561182","710890.61","4330948.808"
"KONZ","2016-07","KONZ2016-07","KONZ_045","39.103828","-96.561811","710831.295","4331128.869"
"KONZ","2016-07","KONZ2016-07","KONZ_013","39.088084","-96.558522","711162.75","4329389.122"
"KONZ","2016-07","KONZ2016-07","KONZ_002","39.119993","-96.546016","712148.785","4332959.91"
"KONZ","2016-07","KONZ2016-07","KONZ_022","39.098105","-96.546418","712179.684","4330529.536"
"KONZ","2016-07","KONZ2016-07","KONZ_028","39.104397","-96.576047","709598.494","4331159.106"
"KONZ","2016-07","KONZ2016-07","KONZ_001","39.075067","-96.555875","711430.561","4327950.463"
"KONZ","2016-07","KONZ2016-07","KONZ_023","39.078425","-96.548483","712059.998","4328340.423"
"KONZ","2017-06","KONZ2017-06","KONZ_003","39.088076","-96.570347","710139.836","4329360.767"
"KONZ","2019-07","KONZ2019-07","KONZ_005","39.082563","-96.566705","710471.292","4328757.276"
"KONZ","2019-07","KONZ2019-07","KONZ_007","39.086977","-96.544717","712360.145","4329298.352"
"KONZ","2019-07","KONZ2019-07","KONZ_002","39.119993","-96.546016","712148.785","4332959.91"
"KONZ","2019-07","KONZ2019-07","KONZ_008","39.108081","-96.545369","712240.489","4331639.316"
"KONZ","2019-07","KONZ2019-07","KONZ_025","39.103999","-96.596164","707859.93","4331068.627"
"KONZ","2019-07","KONZ2019-07","KONZ_011","39.106214","-96.597473","707740.189","4331311.576"
"KONZ","2019-07","KONZ2019-07","KONZ_009","39.107316","-96.585982","708730.704","4331460.168"
"KONZ","2019-07","KONZ2019-07","KONZ_017","39.106074","-96.578723","709362.079","4331339.085"
"KONZ","2019-07","KONZ2019-07","KONZ_045","39.103828","-96.561811","710831.295","4331128.869"
"KONZ","2019-07","KONZ2019-07","KONZ_043","39.102192","-96.561182","710890.61","4330948.808"
"KONZ","2019-07","KONZ2019-07","KONZ_001","39.075067","-96.555875","711430.561","4327950.463"
"KONZ","2019-07","KONZ2019-07","KONZ_023","39.078425","-96.548483","712059.998","4328340.423"
"KONZ","2019-07","KONZ2019-07","KONZ_014","39.1095","-96.561283","710860.084","4331759.743"
"KONZ","2019-07","KONZ2019-07","KONZ_019","39.107534","-96.558221","711130.737","4331548.574"
"NIWO","2018-08","NIWO2018-08","NIWO_014","40.050779","-105.548151","453244.515","4433537.139"
"NIWO","2018-08","NIWO2018-08","NIWO_016","40.048377","-105.542505","453724.471","4433267.545"
"NIWO","2018-08","NIWO2018-08","NIWO_019","40.046996","-105.547411","453305.047","4433116.906"
"NIWO","2018-08","NIWO2018-08","NIWO_009","40.045049","-105.560411","452194.764","4432907.626"
"NIWO","2018-08","NIWO2018-08","NIWO_020","40.0413","-105.554781","452672.482","4432488.515"
"NIWO","2018-08","NIWO2018-08","NIWO_002","40.04106","-105.547043","453332.439","4432457.801"
"NIWO","2018-08","NIWO2018-08","NIWO_007","40.037739","-105.562156","452040.796","4432097.289"
"NIWO","2018-08","NIWO2018-08","NIWO_001","40.042344","-105.558975","452315.392","4432606.622"
"NIWO","2018-08","NIWO2018-08","NIWO_021","40.040801","-105.543482","453636.065","4432427.207"
"NIWO","2018-08","NIWO2018-08","NIWO_005","40.043662","-105.569891","451385.162","4432758.83"
"NIWO","2018-08","NIWO2018-08","NIWO_015","40.04011","-105.57266","451146.351","4432366.174"
"NIWO","2018-08","NIWO2018-08","NIWO_011","40.033987","-105.555402","452614.41","4431677.149"
"NIWO","2018-08","NIWO2018-08","NIWO_012","40.034769","-105.559629","452254.353","4431766.187"
"NIWO","2018-08","NIWO2018-08","NIWO_022","40.038857","-105.557196","452464.759","4432218.686"
"NIWO","2018-08","NIWO2018-08","NIWO_010","40.037194","-105.568794","451474.16","4432040.348"
"NIWO","2019-08","NIWO2019-08","NIWO_042","40.04845","-105.584355","450154.772","4433298.251"
"NIWO","2019-08","NIWO2019-08","NIWO_040","40.046551","-105.584709","450123.158","4433087.643"
"NIWO","2019-08","NIWO2019-08","NIWO_041","40.050349","-105.582965","450274.689","4433508.24"
"NIWO","2019-08","NIWO2019-08","NIWO_020","40.0413","-105.554781","452672.482","4432488.515"
"NIWO","2019-08","NIWO2019-08","NIWO_022","40.038857","-105.557196","452464.759","4432218.686"
"NIWO","2019-08","NIWO2019-08","NIWO_016","40.048377","-105.542505","453724.471","4433267.545"
"NIWO","2019-08","NIWO2019-08","NIWO_019","40.046996","-105.547411","453305.047","4433116.906"
"NIWO","2019-08","NIWO2019-08","NIWO_014","40.050779","-105.548151","453244.515","4433537.139"
"NIWO","2019-08","NIWO2019-08","NIWO_001","40.042344","-105.558975","452315.392","4432606.622"
"NIWO","2019-08","NIWO2019-08","NIWO_030","40.058366","-105.595337","449225.305","4434405.088"
"NIWO","2019-08","NIWO2019-08","NIWO_028","40.057323","-105.593573","449375.04","4434288.29"
"NIWO","2019-08","NIWO2019-08","NIWO_018","40.052498","-105.584022","450186.137","4433747.411"
"NIWO","2020-08","NIWO2020-08","NIWO_009","40.045049","-105.560411","452194.764","4432907.626"
"NIWO","2020-08","NIWO2020-08","NIWO_001","40.042344","-105.558975","452315.392","4432606.622"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_024","40.160102","-112.485308","373508.777","4446584.784"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_015","40.151788","-112.478445","374077.897","4445652.163"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_073","40.1811","-112.512554","371228.062","4448954.65"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_010","40.201042","-112.497129","372578.62","4451146.002"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_008","40.158539","-112.521575","370417.119","4446463.485"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_025","40.145343","-112.538881","368917.84","4445024.211"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_021","40.154245","-112.542595","368618.607","4446017.747"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_028","40.163267","-112.532581","369488.764","4447004.456"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_041","40.17402","-112.452841","376299.053","4448083.918"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_042","40.176672","-112.456784","375968.187","4448383.784"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_029","40.219718","-112.473216","374648.373","4453184.982"
"ONAQ","2017-06","ONAQ2017-06","ONAQ_043","40.173719","-112.456713","375968.814","4448055.863"
"ONAQ","2019-05","ONAQ2019-05","ONAQ_011","40.150746","-112.456227","375968.39","4445505.19"
"ONAQ","2019-05","ONAQ2019-05","ONAQ_015","40.151788","-112.478445","374077.897","4445652.163"
"ONAQ","2019-05","ONAQ2019-05","ONAQ_026","40.16488","-112.448781","376628.234","4447063.684"
"ONAQ","2019-05","ONAQ2019-05","ONAQ_009","40.160803","-112.47125","374707.313","4446642.604"
"ONAQ","2019-05","ONAQ2019-05","ONAQ_024","40.160102","-112.485308","373508.777","4446584.784"
"OSBS","2017-09","OSBS2017-09","OSBS_008","29.685058","-82.007163","402553.625","3284312.244"
"OSBS","2017-09","OSBS2017-09","OSBS_005","29.696568","-82.02558","400782.947","3285603.396"
"OSBS","2017-09","OSBS2017-09","OSBS_017","29.703872","-81.991845","404053.613","3286384.231"
"OSBS","2017-09","OSBS2017-09","OSBS_027","29.691969","-81.992063","404021.238","3285065.449"
"OSBS","2017-09","OSBS2017-09","OSBS_026","29.693584","-81.992056","404023.434","3285244.42"
"OSBS","2017-09","OSBS2017-09","OSBS_029","29.692504","-81.989891","404231.863","3285122.93"
"OSBS","2017-09","OSBS2017-09","OSBS_004","29.684075","-81.959108","407202.452","3284163.768"
"OSBS","2017-09","OSBS2017-09","OSBS_003","29.694993","-81.947419","408343.335","3285364.265"
"OSBS","2017-09","OSBS2017-09","OSBS_006","29.686609","-81.983001","404893.003","3284463.95"
"OSBS","2018-09","OSBS2018-09","OSBS_008","29.685058","-82.007163","402553.625","3284312.244"
"OSBS","2018-09","OSBS2018-09","OSBS_010","29.691764","-81.941828","408881.346","3285002.118"
"OSBS","2018-09","OSBS2018-09","OSBS_014","29.692719","-81.958259","407292.518","3285121.007"
"OSBS","2018-09","OSBS2018-09","OSBS_009","29.698798","-82.017543","401562.68","3285843.578"
"OSBS","2018-09","OSBS2018-09","OSBS_013","29.68216","-81.961566","406962.862","3283953.531"
"OSBS","2018-09","OSBS2018-09","OSBS_011","29.721507","-81.987042","404534.97","3288334.429"
"OSBS","2018-09","OSBS2018-09","OSBS_003","29.694993","-81.947419","408343.335","3285364.265"
"OSBS","2018-09","OSBS2018-09","OSBS_020","29.686849","-81.950765","408012.23","3284464.567"
"SCBI","2016-07","SCBI2016-07","SCBI_043","38.890577","-78.151569","747051.841","4308491.262"
"SCBI","2016-07","SCBI2016-07","SCBI_006","38.897609","-78.152007","746989.481","4309270.55"
"SCBI","2016-07","SCBI2016-07","SCBI_040","38.883962","-78.168759","745583.426","4307710.54"
"SCBI","2016-07","SCBI2016-07","SCBI_038","38.881536","-78.168857","745583.315","4307441.051"
"SCBI","2016-07","SCBI2016-07","SCBI_035","38.882888","-78.168813","745582.498","4307591.188"
"SCBI","2017-07","SCBI2017-07","SCBI_010","38.884776","-78.125148","749364.134","4307919.228"
"SCBI","2017-07","SCBI2017-07","SCBI_022","38.882557","-78.123168","749543.653","4307678.376"
"SCBI","2017-07","SCBI2017-07","SCBI_006","38.897609","-78.152007","746989.481","4309270.55"
"SCBI","2017-07","SCBI2017-07","SCBI_038","38.881536","-78.168857","745583.315","4307441.051"
"SCBI","2017-07","SCBI2017-07","SCBI_035","38.882888","-78.168813","745582.498","4307591.188"
"SCBI","2019-06","SCBI2019-06","SCBI_004","38.896938","-78.146458","747473.093","4309211.157"
"SCBI","2019-06","SCBI2019-06","SCBI_002","38.895214","-78.142704","747804.738","4309030.017"
"SCBI","2019-06","SCBI2019-06","SCBI_008","38.887763","-78.147164","747443.714","4308190.84"
"SCBI","2019-06","SCBI2019-06","SCBI_005","38.900538","-78.16186","746124.692","4309569.076"
"SCBI","2019-06","SCBI2019-06","SCBI_011","38.879734","-78.139901","748101.758","4307319.346"
"SCBI","2019-06","SCBI2019-06","SCBI_047","38.894257","-78.137217","748283.983","4308938.736"
"SCBI","2019-06","SCBI2019-06","SCBI_067","38.893949","-78.135536","748430.953","4308909.054"
"SCBI","2019-06","SCBI2019-06","SCBI_010","38.884776","-78.125148","749364.134","4307919.228"
"SCBI","2019-06","SCBI2019-06","SCBI_019","38.900642","-78.175704","744923.566","4309543.295"
"SCBI","2019-06","SCBI2019-06","SCBI_003","38.883308","-78.120371","749783.681","4307769.356"
"SCBI","2019-06","SCBI2019-06","SCBI_018","38.870965","-78.157532","746602.432","4306298.225"
"SCBI","2019-06","SCBI2019-06","SCBI_013","38.874379","-78.163985","746030.707","4306659.757"
"SCBI","2019-06","SCBI2019-06","SCBI_016","38.904234","-78.158647","746390.625","4309987.955"
"SCBI","2019-06","SCBI2019-06","SCBI_017","38.879363","-78.135381","748495.222","4307290.536"
"SCBI","2019-06","SCBI2019-06","SCBI_045","38.890566","-78.139432","748104.777","4308522.93"
"SCBI","2019-06","SCBI2019-06","SCBI_007","38.884909","-78.130305","748916.264","4307919.944"
"SCBI","2019-06","SCBI2019-06","SCBI_015","38.884381","-78.141069","747984.236","4307831.967"
"SCBI","2019-06","SCBI2019-06","SCBI_014","38.867075","-78.163552","746093.5","4305850.188"
"SJER","2017-03","SJER2017-03","SJER_014","37.078744","-119.720266","258186.243","4107070.181"
"SJER","2017-03","SJER2017-03","SJER_016","37.077219","-119.716137","258548.539","4106890.393"
"SJER","2017-03","SJER2017-03","SJER_012","37.08368","-119.717046","258488.165","4107609.784"
"SJER","2017-03","SJER2017-03","SJER_015","37.081978","-119.720355","258188.614","4107429.332"
"SJER","2018-03","SJER2018-03","SJER_016","37.077219","-119.716137","258548.539","4106890.393"
"SJER","2018-03","SJER2018-03","SJER_014","37.078744","-119.720266","258186.243","4107070.181"
"SJER","2018-03","SJER2018-03","SJER_022","37.080176","-119.716934","258486.988","4107220.615"
"SJER","2018-03","SJER2018-03","SJER_028","37.078298","-119.727329","257556.83","4107038.738"
"SJER","2018-03","SJER2018-03","SJER_015","37.081978","-119.720355","258188.614","4107429.332"
"SJER","2018-03","SJER2018-03","SJER_012","37.08368","-119.717046","258488.165","4107609.784"
"SJER","2019-03","SJER2019-03","SJER_016","37.077219","-119.716137","258548.539","4106890.393"
"SJER","2019-03","SJER2019-03","SJER_022","37.080176","-119.716934","258486.988","4107220.615"
"SJER","2019-03","SJER2019-03","SJER_012","37.08368","-119.717046","258488.165","4107609.784"
"TALL","2016-05","TALL2016-05","TALL_002","32.922166","-87.428895","459899.092","3642739.859"
"TALL","2016-05","TALL2016-05","TALL_015","32.916737","-87.437886","459056.013","3642141.484"
"TALL","2016-05","TALL2016-05","TALL_006","32.898842","-87.446131","458276.666","3640160.863"
"TALL","2016-05","TALL2016-05","TALL_008","32.921617","-87.433389","459478.662","3642680.718"
"TALL","2016-05","TALL2016-05","TALL_010","32.926835","-87.418704","460854.035","3643253.685"
"TALL","2016-05","TALL2016-05","TALL_012","32.919044","-87.397457","462837.221","3642382.273"
"TALL","2016-05","TALL2016-05","TALL_023","32.929576","-87.411967","461485.033","3643555.07"
"TALL","2016-05","TALL2016-05","TALL_004","32.957884","-87.432614","459567.683","3646700.987"
"TALL","2016-05","TALL2016-05","TALL_018","32.916368","-87.389763","463555.492","3642082.971"
"TALL","2016-05","TALL2016-05","TALL_064","32.959807","-87.425248","460256.933","3646911.443"
"TALL","2016-05","TALL2016-05","TALL_003","32.893534","-87.415333","461154.634","3639560.634"
"TALL","2016-05","TALL2016-05","TALL_005","32.897137","-87.397336","462839.4","3639953.572"
"TALL","2016-05","TALL2016-05","TALL_025","32.899566","-87.396378","462929.959","3640222.598"
"TALL","2016-05","TALL2016-05","TALL_031","32.899318","-87.389034","463616.688","3640192.479"
"TALL","2016-05","TALL2016-05","TALL_027","32.891309","-87.431342","459656.319","3639320.037"
"TALL","2016-05","TALL2016-05","TALL_016","32.970408","-87.415018","461217.644","3648082.851"
"TALL","2016-05","TALL2016-05","TALL_029","32.901599","-87.432036","459596.09","3640461.009"
"TALL","2016-05","TALL2016-05","TALL_032","32.910318","-87.420834","460647.574","3641423.391"
"TALL","2016-05","TALL2016-05","TALL_013","32.884748","-87.454392","457497.322","3638601.758"
"TALL","2016-05","TALL2016-05","TALL_021","32.950118","-87.407534","461908.337","3645830.764"
"TALL","2016-05","TALL2016-05","TALL_017","32.91006","-87.40866","461785.879","3641390.264"
"TALL","2016-05","TALL2016-05","TALL_030","32.954489","-87.403417","462295.036","3646313.792"
"TALL","2016-05","TALL2016-05","TALL_007","32.974426","-87.42694","460105.357","3648532.707"
"TALL","2016-05","TALL2016-05","TALL_020","32.955991","-87.42683","460107.345","3646488.98"
"TALL","2016-05","TALL2016-05","TALL_044","32.952869","-87.397606","462837.441","3646132.118"
"TALL","2016-05","TALL2016-05","TALL_001","32.977665","-87.432705","459568.133","3648893.935"
"UNDE","2016-08","UNDE2016-08","UNDE_016","46.24597","-89.525485","305316.861","5124477.201"
"UNDE","2016-08","UNDE2016-08","UNDE_043","46.234247","-89.542459","303966.647","5123216.502"
"UNDE","2016-08","UNDE2016-08","UNDE_015","46.231237","-89.506506","306728.11","5122793.872"
"UNDE","2016-08","UNDE2016-08","UNDE_038","46.232249","-89.534573","304567.523","5122975.093"
"UNDE","2016-08","UNDE2016-08","UNDE_037","46.231276","-89.541941","303995.992","5122885.118"
"UNDE","2016-08","UNDE2016-08","UNDE_014","46.22596","-89.513299","306185.772","5122224.11"
"UNDE","2016-08","UNDE2016-08","UNDE_044","46.231744","-89.53264","304714.814","5122914.235"
"UNDE","2016-08","UNDE2016-08","UNDE_023","46.230008","-89.501807","307086.124","5122645.862"
"UNDE","2019-06","UNDE2019-06","UNDE_027","46.210824","-89.49004","307926.545","5120485.852"
